time,V(vin),V(vo1),V(vs),V(vout)
1.068699442001669e-03,4.686721e-02,2.715197e+00,7.604882e-02,-2.999053e-01
1.076372433073098e-03,5.058019e-02,2.699647e+00,8.184365e-02,-3.142872e-01
1.084045424144526e-03,5.384527e-02,2.687091e+00,8.691155e-02,-3.258200e-01
1.091718415215955e-03,5.666244e-02,2.677528e+00,9.125251e-02,-3.345039e-01
1.099391406287383e-03,5.903171e-02,2.670957e+00,9.486654e-02,-3.403388e-01
1.108808258965954e-03,6.108399e-02,2.668271e+00,9.792115e-02,-3.425727e-01
1.118225111644525e-03,6.227667e-02,2.670406e+00,9.960405e-02,-3.402845e-01
1.127641964323097e-03,6.260974e-02,2.677363e+00,9.991522e-02,-3.334743e-01
1.137058817001668e-03,6.208322e-02,2.689141e+00,9.885467e-02,-3.221419e-01
1.146475669680239e-03,6.069709e-02,2.705742e+00,9.642240e-02,-3.062875e-01
1.155892522358810e-03,5.845135e-02,2.727164e+00,9.261842e-02,-2.859109e-01
1.165309375037382e-03,5.534602e-02,2.753408e+00,8.744271e-02,-2.610123e-01
1.170889732180239e-03,5.312156e-02,2.770766e+00,8.377179e-02,-2.444977e-01
1.176470089323096e-03,5.066920e-02,2.789152e+00,7.974379e-02,-2.269801e-01
1.182050446465953e-03,4.798893e-02,2.808568e+00,7.535870e-02,-2.084593e-01
1.187630803608810e-03,4.508077e-02,2.829012e+00,7.061652e-02,-1.889354e-01
1.193211160751667e-03,4.194469e-02,2.850486e+00,6.551725e-02,-1.684084e-01
1.198791517894524e-03,3.858072e-02,2.872988e+00,6.006090e-02,-1.468783e-01
1.204371875037381e-03,3.498884e-02,2.896519e+00,5.424745e-02,-1.243451e-01
1.207162053608809e-03,3.313971e-02,2.908440e+00,5.125960e-02,-1.129170e-01
1.209952232180238e-03,3.125564e-02,2.920469e+00,4.821828e-02,-1.013792e-01
1.212742410751666e-03,2.933664e-02,2.932607e+00,4.512349e-02,-8.973172e-02
1.215532589323095e-03,2.738270e-02,2.944852e+00,4.197523e-02,-7.797453e-02
1.218322767894523e-03,2.539382e-02,2.957207e+00,3.877350e-02,-6.610764e-02
1.221112946465952e-03,2.337001e-02,2.969669e+00,3.551830e-02,-5.413104e-02
1.223903125037380e-03,2.131126e-02,2.982240e+00,3.220963e-02,-4.204474e-02
1.231227343787380e-03,1.580431e-02,3.015358e+00,2.337222e-02,-1.018138e-02
1.238551562537380e-03,1.016269e-02,3.048568e+00,1.433695e-02,2.180194e-02
1.242039285751666e-03,7.429514e-03,3.064408e+00,9.966038e-03,3.706704e-02
1.245527008965951e-03,4.695029e-03,3.080099e+00,5.596949e-03,5.219363e-02
1.249014732180237e-03,1.959234e-03,3.095643e+00,1.229687e-03,6.718169e-02
1.252502455394523e-03,-7.778709e-04,3.111039e+00,-3.135749e-03,8.203124e-02
1.255990178608808e-03,-3.516285e-03,3.126287e+00,-7.499357e-03,9.674226e-02
1.259477901823094e-03,-6.256010e-03,3.141388e+00,-1.186114e-02,1.113148e-01
1.262965625037380e-03,-8.997044e-03,3.156341e+00,-1.622109e-02,1.257488e-01
1.268197209858808e-03,-1.309697e-02,3.178396e+00,-2.273467e-02,1.470441e-01
1.273428794680236e-03,-1.709850e-02,3.199583e+00,-2.908356e-02,1.674991e-01
1.278660379501665e-03,-2.100166e-02,3.219903e+00,-3.526775e-02,1.871139e-01
1.283891964323093e-03,-2.480643e-02,3.239355e+00,-4.128725e-02,2.058883e-01
1.289123549144522e-03,-2.851282e-02,3.257939e+00,-4.714205e-02,2.238224e-01
1.294355133965950e-03,-3.212083e-02,3.275656e+00,-5.283216e-02,2.409162e-01
1.299586718787379e-03,-3.563045e-02,3.292506e+00,-5.835758e-02,2.571696e-01
1.307608482180236e-03,-4.074298e-02,3.316179e+00,-6.638510e-02,2.799845e-01
1.315630245573093e-03,-4.533994e-02,3.336552e+00,-7.358095e-02,2.995803e-01
1.323652008965950e-03,-4.942135e-02,3.353625e+00,-7.994513e-02,3.159569e-01
1.331673772358807e-03,-5.298719e-02,3.367398e+00,-8.547763e-02,3.291144e-01
1.339695535751664e-03,-5.603747e-02,3.377871e+00,-9.017846e-02,3.390529e-01
1.347717299144521e-03,-5.857218e-02,3.385044e+00,-9.404762e-02,3.457722e-01
1.355739062537378e-03,-6.059134e-02,3.388916e+00,-9.708510e-02,3.492724e-01
1.364807142894520e-03,-6.201324e-02,3.388248e+00,-9.914231e-02,3.482916e-01
1.373875223251663e-03,-6.264014e-02,3.383285e+00,-9.993625e-02,3.431456e-01
1.382943303608806e-03,-6.247204e-02,3.374027e+00,-9.946691e-02,3.338343e-01
1.392011383965948e-03,-6.150893e-02,3.360473e+00,-9.773430e-02,3.203576e-01
1.401079464323091e-03,-5.975083e-02,3.342625e+00,-9.473841e-02,3.027157e-01
1.410147544680233e-03,-5.719772e-02,3.320482e+00,-9.047926e-02,2.809085e-01
1.419215625037376e-03,-5.384962e-02,3.294043e+00,-8.495683e-02,2.549360e-01
1.424795982180233e-03,-5.142926e-02,3.276091e+00,-8.099239e-02,2.373458e-01
1.430376339323090e-03,-4.879201e-02,3.257163e+00,-7.668768e-02,2.188323e-01
1.435956696465947e-03,-4.593789e-02,3.237257e+00,-7.204269e-02,1.993955e-01
1.441537053608804e-03,-4.286689e-02,3.216375e+00,-6.705744e-02,1.790354e-01
1.447117410751661e-03,-3.957900e-02,3.194516e+00,-6.173192e-02,1.577519e-01
1.452697767894518e-03,-3.607423e-02,3.171680e+00,-5.606613e-02,1.355452e-01
1.458278125037375e-03,-3.235259e-02,3.147867e+00,-5.006007e-02,1.124151e-01
1.460719531287375e-03,-3.068656e-02,3.137341e+00,-4.737451e-02,1.022050e-01
1.463160937537375e-03,-2.899580e-02,3.126736e+00,-4.465087e-02,9.192472e-02
1.465602343787375e-03,-2.728033e-02,3.116051e+00,-4.188916e-02,8.157430e-02
1.468043750037375e-03,-2.554014e-02,3.105286e+00,-3.908938e-02,7.115374e-02
1.470485156287375e-03,-2.377522e-02,3.094441e+00,-3.625152e-02,6.066305e-02
1.472926562537375e-03,-2.198558e-02,3.083516e+00,-3.337560e-02,5.010222e-02
1.475367968787375e-03,-2.017122e-02,3.072512e+00,-3.046160e-02,3.947126e-02
1.482692187537375e-03,-1.463422e-02,3.039352e+00,-2.157857e-02,7.485854e-03
1.487575000037375e-03,-1.087170e-02,3.017165e+00,-1.555035e-02,-1.387498e-02
1.491062723251660e-03,-8.145465e-03,3.001257e+00,-1.118631e-02,-2.917038e-02
1.494550446465946e-03,-5.416894e-03,2.985472e+00,-6.821742e-03,-4.432848e-02
1.498038169680232e-03,-2.685988e-03,2.969811e+00,-2.456650e-03,-5.934928e-02
1.501525892894517e-03,4.725305e-05,2.954274e+00,1.908968e-03,-7.423278e-02
1.505013616108803e-03,2.782829e-03,2.938860e+00,6.275110e-03,-8.897898e-02
1.508501339323088e-03,5.520741e-03,2.923570e+00,1.064178e-02,-1.035879e-01
