Freq.,abs(V(vout)/V(vs))
1.18128065925227e+000,-2.22352050597704e+001
1.18163276960672e+000,-2.22322998476048e+001
1.18198498491651e+000,-2.22293948166585e+001
1.18233730521291e+000,-2.22264899668604e+001
1.18268973052722e+000,-2.22235852981396e+001
1.18304226089074e+000,-2.22206808104247e+001
1.18339489633479e+000,-2.22177765036449e+001
1.18374763689068e+000,-2.22148723777291e+001
1.18410048258975e+000,-2.22119684326062e+001
1.18445343346334e+000,-2.22090646682053e+001
1.18480648954280e+000,-2.22061610844553e+001
1.18515965085948e+000,-2.22032576812855e+001
1.18551291744476e+000,-2.22003544586248e+001
1.18586628933001e+000,-2.21974514164023e+001
1.18621976654663e+000,-2.21945485545472e+001
1.18657334912600e+000,-2.21916458729886e+001
1.18692703709954e+000,-2.21887433716557e+001
1.18728083049865e+000,-2.21858410504777e+001
1.18763472935477e+000,-2.21829389093839e+001
1.18798873369933e+000,-2.21800369483034e+001
1.18834284356377e+000,-2.21771351671655e+001
1.18869705897954e+000,-2.21742335658995e+001
1.18905137997811e+000,-2.21713321444348e+001
1.18940580659095e+000,-2.21684309027007e+001
1.18976033884954e+000,-2.21655298406265e+001
1.19011497678537e+000,-2.21626289581416e+001
1.19046972042993e+000,-2.21597282551754e+001
1.19082456981475e+000,-2.21568277316574e+001
1.19117952497133e+000,-2.21539273875171e+001
1.19153458593121e+000,-2.21510272226838e+001
1.19188975272592e+000,-2.21481272370871e+001
1.19224502538701e+000,-2.21452274306566e+001
1.19260040394603e+000,-2.21423278033217e+001
1.19295588843455e+000,-2.21394283550121e+001
1.19331147888415e+000,-2.21365290856574e+001
1.19366717532641e+000,-2.21336299951871e+001
1.19402297779293e+000,-2.21307310835310e+001
1.19437888631530e+000,-2.21278323506186e+001
1.19473490092514e+000,-2.21249337963797e+001
1.19509102165407e+000,-2.21220354207440e+001
1.19544724853372e+000,-2.21191372236412e+001
1.19580358159574e+000,-2.21162392050011e+001
1.19616002087177e+000,-2.21133413647535e+001
1.19651656639348e+000,-2.21104437028282e+001
1.19687321819253e+000,-2.21075462191551e+001
1.19722997630060e+000,-2.21046489136639e+001
